pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
77	コスチュームを着た人々が森の中で集まって、同じ方向を見ている	マスクをした人々が森の中で同じ方向を見ている	3.0	neutral
78	コスチュームを着た人々が森の中で集まって、同じ方向を見ている	コスチュームを着た人々が森の中で散らばって、違う方向を見ている	2.7	contradiction
79	人々が森の近くで集められたいくつかのコスチュームを見ている	コスチュームを着た人々が森の中で集まって、同じ方向を見ている	2.3	neutral
81	小さな女の子がコスチュームを着た女性を見ている	コスチュームを着た人々が森の中で散らばって、違う方向を見ている	1.3	neutral
82	小さな女の子がコスチュームを着た女性を見ている	人々が森の近くで集められたいくつかのコスチュームを見ている	1.7	neutral
83	幼い女の子がコスチュームを着た女性を見ている	コスチュームを着た人々が森の中で集まって、同じ方向を見ている	1.7	neutral
84	コスチュームを着た人々が森の中で集まって、同じ方向を見ている	小さな女の子がコスチュームを着た男性を見ている	1.3	neutral
85	コスチュームを着た人々が森の中で集まって、同じ方向を見ている	コスチュームを着た小さな女の子が大人の女性のように見える	1.3	neutral
87	孤独な自転車乗りが空中にジャンプしている	自転車乗りが一人で空中にジャンプしている	4.3	entailment
88	空中にジャンプしている自転車乗りは一人もいない	孤独な自転車乗りが空中にジャンプしている	3.3	contradiction
90	男性が空っぽのプールの中に跳び込んでいる	男性が水の入ったプールの中に跳び込んでいる	4.0	contradiction
91	男性が空っぽのプールの中に跳び込んでいる	その男性のジャンパーは空っぽのプールの中にある	2.7	neutral
93	孤独な自転車乗りが空中にジャンプしている	男性が水の入ったプールの中に跳び込んでいる	1.3	neutral
94	その男性のジャンパーは空っぽのプールの中にある	孤独な自転車乗りが空中にジャンプしている	1.0	neutral
97	孤独な自転車乗りが空中にジャンプしている	男性が空っぽのプールの中に跳び込んでいる	1.3	neutral
98	四人の子供たちが公園でバックベンドをしている	四人の子供たちが公園でバックベンドをしている	5.0	entailment
99	四人の子供たちが体育館でバックベンドをしている	四人の子供たちが公園でバックベンドをしている	4.0	neutral
100	四人の女の子たちが庭でバックエンドをして遊んでいる	四人の女の子たちが戸外でバックエンドをして遊んでいる	4.7	entailment
107	プレイしている男性が手にボールを持って走っている	選手が手にボールを持って走っている	4.3	entailment
112	二つのグループの人々がサッカーをしている	選手が手にボールを持って走っている	2.7	neutral
113	二つのチームが野球の試合で対戦している	選手が手にボールを持って走っている	2.7	neutral
117	選手が手にボールを持って走っている	二つのチームがサッカーの試合で対戦している	2.7	neutral
120	五つの木製の台がそれぞれの子供の小屋の前にある	五人の子供たちが木造小屋の前に立っている	2.3	neutral
122	五人の子供たちが寄り添って立っていて、一人の子供が銃を持っている	五人の子供たちが寄り添って立っていて、銃を持っている子供は一人もいない	4.3	contradiction
124	五人の子供たちが寄り添って立っていて、銃を持っている子供は一人もいない	五人の子供たちが木造小屋の前に立っている	2.7	neutral
126	五人の子供たちが木造小屋の中で立っている	五人の子供たちが寄り添って立っていて、一人の子供が銃を持っている	2.3	neutral
127	五つの木製の台がそれぞれの子供の小屋の前にある	五人の子供たちが寄り添って立っていて、一人の子供が銃を持っている	1.7	neutral
129	年を取った男性が野原で座っている	男性が野原で座っている	4.7	entailment
130	男性が野原で座っている	男性が野原で走っている	3.7	contradiction
131	ある人が帽子をかぶって草原に座っている	ある人が野原で座っていて帽子をかぶっている	4.7	entailment
133	ある人が座って草の帽子をかぶっている	ある人が帽子をかぶって草原に座っている	3.0	neutral
136	ある人が座って草の帽子をかぶっている	男性が野原で座っている	3.0	neutral
139	男性が野原で座っている	ある人が帽子をかぶって草原に座っている	2.7	neutral
140	流れは仲間のグループに筏で乗られている	仲間のグループが筏で流れに乗っている	3.7	entailment
141	仲間のグループが筏で流れに乗っている	グループが筏で流れに乗っていない	3.7	contradiction
146	流れは仲間のグループに筏で乗られている	このグループの人々は水難救助を練習していて、救命胴着具を着ている	1.3	neutral
148	仲間のグループが筏で流れに乗っている	このグループの人々は水難救助を練習していて、救命胴着具を着ている	1.3	neutral
150	鹿がフェンスを跳び越えている	鹿がフェンスを跳び越えていない	4.0	contradiction
159	人々が、たくさんの壁画がある建物の内側を歩いている	人々が、たくさんの壁画がある建物の外側を歩いている	3.7	contradiction
161	数人の人々がカラフルな建物の前を歩いている	そのカラフルな建物の前には誰もいない	3.0	contradiction
163	人々が、たくさんの壁画がある建物の外側を歩いている	そのカラフルな建物の前には誰もいない	2.7	neutral
164	人々が、いくつかの壁画がある建物の外側を歩いている	数人の人々がカラフルな建物の前を歩いている	2.3	neutral
170	家族が、野球のボールを打っている小さな男の子を見ている	家族が、野球のボールを打ちそこなっている小さな男の子を見ている	3.7	contradiction
173	子供が野球のボールを打っている	家族が、野球のボールを打ちそこなっている小さな男の子を見ている	3.0	neutral
176	子供が野球のボールを打ちそこなっている	家族が、野球のボールを打っている小さな男の子を見ている	2.7	neutral
183	紫色の大勢の人々が、様々な赤い照明のあるレストランのテーブルで食事をしている	様々な人々が紫色の照明のある混雑したレストランの赤いテーブルで食事をしている	2.3	neutral
184	大人数のアジア人のグループがレストランで食事をしている	様々な客が紫色の照明のある混雑したレストランで食事をしている	2.7	neutral
186	紫色の大勢の人々が、様々な赤い照明のあるレストランのテーブルで食事をしている	大人数のアジア人のグループがレストランで食事をしている	2.3	neutral
188	様々な人々が紫色の照明のある混雑したレストランの赤いテーブルで食事をしている	少人数の人々のグループがレストランで食事をするのを待っている	2.3	neutral
192	オートバイ乗りが白いオートバイのシートの上で立ち上がっている	オートバイのシートの上で立ち上がっているオートバイ乗りは一人もいない	3.3	contradiction
194	バイクに乗ってシートの上で立ち上がっている人は一人もいない	誰かが黒と白のオートバイに乗り、シートの上で立ち上がっている	3.0	contradiction
200	モーターサイクリストが危険なやり方でオートバイに乗って車道を通っている	モーターサイクリストがオートバイに乗って車道を通っている	3.7	entailment
201	オートバイに乗って車道を通っているモーターサイクリストは一人もいない	モーターサイクリストがオートバイに乗って車道を通っている	3.3	contradiction
202	赤く塗られたヘルメットをかぶった男性が青いバイクに乗って道路を通っている	赤いヘルメットをかぶったモーターサイクリストが青いバイクに乗って道路を通っている	4.0	neutral
205	ヘルメットをかぶっていないモーターサイクリストが道路の近くで青いオートバイに乗って待っている	モーターサイクリストがオートバイに乗って車道を通っている	2.3	neutral
215	二匹の犬が木のそばで遊んでいる	犬が棒を空中でキャッチしていて、別の犬が見ている	2.7	neutral
216	二匹の犬が木のそばで遊んでいる	空中に跳んでいる犬は一匹もいない	1.7	neutral
217	二匹の犬が木のそばで遊んでいる	犬が空中に高く跳んでいて、別の犬が見ている	2.7	neutral
223	白い服を着た女の子がダンスをしている	そのダンサーは音響機器の前でダンスをしている	3.0	neutral
224	白い服を着た女の子がダンスをしている	そのブロンドの女の子は音響機器の後ろでダンスをしている	2.3	neutral
226	女の子が白い服を着てダンスをしている	そのブロンドの女の子は音響機器の前でダンスをしている	2.7	neutral
227	そのブロンドの女の子は音響機器の前でダンスをしている	白い服を着てダンスをしている女の子は一人もいない	2.3	neutral
232	三人のアジア人の子供たちがダンスをしていて、一人の男性が見ている	三人のアジア人の子供たちがダンスをしていて、見ている男性は一人もいない	4.0	contradiction
233	三人のアジア人の子供たちがダンスをしていて、一人の男性が見ている	アジア人の男性がダンスをしていて、三人の子供たちが見ている	4.0	neutral
234	家族のその子供は遊んで待っている	三人のアジア人の子供たちがダンスをしていて、一人の真面目な男性が見ている	2.0	neutral
237	家族のその子供は根気よく遊んで待っている	三人のアジア人の子供たちがダンスをしていて、一人の男性が見ている	2.0	neutral
238	遊んで待っている子供は一人もいない	三人のアジア人の子供たちがダンスをしていて、一人の男性が見ている	2.7	neutral
240	女性がエジプトの帽子を頭にかぶっている	女性がエジプトの頭飾りを着けている	3.7	neutral
241	女性がエジプトの頭飾りを着けている	女性がインドの頭飾りを着けている	4.0	neutral
248	その黒人女性は頭飾りの上に眼鏡を着けている	女性がエジプトの頭飾りを着けている	3.0	neutral
249	女性がエジプトの帽子を頭にかぶっている	その女性は眼鏡をかけ黒い頭飾りを着けている	2.7	neutral
254	ハイカーが山の頂上にいて、ダンスをしている	山の頂上でダンスをしているハイカーは一人もいない	3.7	contradiction
256	何本かの木々より高くにある岩の上で奇妙な姿勢で立っている男性は一人もいない	男性が、何本かの木々より高くにある岩の上にいて、奇妙な姿勢で立っている	3.7	contradiction
257	ハイカーが山の頂上にいて、ダンスをしている	男性が、何本かの木々より高くにある岩の上にいて、楽ではない姿勢で立っている	1.3	neutral
258	ハイカーが山の頂上にいて、ダンスをしている	何本かの木々より高くにある岩の上で奇妙な姿勢で立っている男性は一人もいない	1.0	neutral
259	男性が、何本かの木々より高くにある岩の上にいて、奇妙な姿勢で立っている	ハイカーが山の頂上にいて、喜びのダンスをしている	1.3	neutral
260	山の頂上でダンスをしているハイカーは一人もいない	男性が、何本かの木々より高くにある岩の上にいて、奇妙な姿勢で立っている	1.3	neutral
265	栗毛の馬はロデオ競技の赤い樽のすぐ近くにいる	栗毛の馬はロデオ競技の赤い樽の近くにいる	4.7	entailment
266	栗毛の馬はロデオ競技の赤い樽の近くにいる	栗毛の馬はロデオ競技の赤い樽から離れている	3.7	contradiction
269	カウガールが栗毛の馬に乗って樽のところで曲がっている	栗毛の馬はロデオ競技の赤い樽の近くにいる	2.3	neutral
272	カウガールが馬に乗って樽のところで曲がっている	栗毛の馬はロデオ競技の赤い樽の近くにいる	2.0	neutral
273	男の子が冷たい水の中で立っている	男の子が水の中で立っている	4.3	entailment
276	その男の子は青い海の近くで座っている	その男の子は青い海の中を歩いている	3.3	contradiction
277	男の子が水の中で立っている	その子供は青い海を泳いでいる	3.0	neutral
279	その男の子は青い海の中を歩いている	男の子が冷たい水の中で立っている	3.3	neutral
283	男性がステージでギターを弾いている	ステージでギターを弾いている男性は一人もいない	3.7	contradiction
286	男性がステージでギターを弾いている	ギタリストはブロンドでふわふわの髪をしている	2.3	neutral
287	男性がステージでギターを弾いている	頭の禿げた人がギターを弾いている	2.7	neutral
289	ステージでギターを弾いている男性は一人もいない	ある人はブロンドのふわふわの髪をしていて、ギターを弾いている	2.7	contradiction
291	何人かの子供たちが座って膝を立てている	何人かの子供たちが横たわって膝を立てている	3.7	neutral
293	二人の幼い女の子が地面の上に立っている	二人の女の子が地面の上に座っている	4.0	contradiction
296	二人の女の子が地面の上に横たわっている	何人かの子供たちが座って膝を立てている	2.3	neutral
301	裸の女性がボディペイントをした群衆の前を歩いている	ボディペイントをして群衆の前を歩いている裸の女性は一人もいない	3.3	neutral
302	裸の女性がボディペイントをした群衆の前を歩いている	ボディペイントをした裸の群衆が女性の前を歩いている	3.7	neutral
303	若いトップレスの女性がペイントで覆われている	トップレスの女性がペイントで覆われている	4.3	entailment
305	裸の女性がボディペイントをした群衆の前を歩いている	トップレスの女性がペイントで覆われている	2.3	neutral
309	ボディペイントをした裸の群衆が女性の前を歩いている	若いトップレスの女性がペイントで覆われている	2.7	neutral
310	裸の女性がボディペイントをした群衆の前を歩いている	若いトップレスの女性がペイントで覆われている	2.7	neutral
311	人々のグループが海の近くにいる	大勢の人々が水域の近くにいる	4.0	entailment
312	大勢の人々が水域の近くにいる	大勢の人々が水域から離れている	3.3	contradiction
313	制服を着た子供たちのグループが門のところに立っていて、一人が母親にキスしている	同じ服を着た子供たちのグループが門のところで待っていて、一人が母親にキスしている	4.0	entailment
315	制服を着た母親たちのグループが子供たちの近くに立っていて、一人が門にキスしている	制服を着た子供たちのグループが門のところに立っていて、一人が母親にキスしている	2.7	neutral
323	男性が駐車場の中にいて、大きな壁に向かってテニスをしている	男性が駐車場の中にいて、友人に向かってテニスをしている	3.3	neutral
327	男性が駐車場の中にいて、大きな壁に向かってテニスをしている	車を指さしている男性は一人もいない	1.7	neutral
329	男性が駐車場の中にいて、友人に向かってテニスをしている	男性がシルバーのセダンを指さしている	1.3	neutral
331	人々のグループが海辺にいる	人々のグループが海の近くにいる	4.7	entailment
332	人々のグループが海辺にいる	人々のグループが山の上にいる	3.3	neutral
333	一人の男性、一人の女性、そして二人の女の子たちが海辺で歩いている	四人の人々が海辺で歩いている	4.0	entailment
335	人々のグループが海辺にいる	四人の人々が海辺で歩いている	3.3	neutral
338	一人の男性、一人の女性、そして二人の女の子たちが海辺で歩いている	人々のグループが山の上にいる	2.7	contradiction
339	一人の男性、一人の女性、そして二人の女の子たちが海辺で歩いている	人々のグループが海辺にいる	4.0	entailment
340	黒い鞄を持った女生徒が込み合った列車に乗っている	黒い鞄を持った女の子が込み合った列車に乗っている	4.3	entailment
341	黒い鞄を持って込み合った列車に乗っている女の子は一人もいない	黒い鞄を持った女の子が込み合った列車に乗っている	3.0	contradiction
342	黒い鞄を持った女の子が込み合った列車に乗っている	狭苦しい黒い列車が女の子の鞄の上にある	2.0	neutral
344	群衆の中にいるアジア人の女性が黒い鞄を運んでいない	群衆の中にいるアジア人の女性が黒い鞄を携帯している	3.3	contradiction
346	黒い鞄を持った女の子が込み合った列車に乗っている	群衆の中にいるアジア人の女性が黒い鞄を運んでいない	2.3	neutral
347	黒い鞄を持った女生徒が込み合った列車に乗っている	群衆の中にいるアジア人の女性が黒い鞄を携帯している	3.0	neutral
351	犬が別の犬を追いかけていて、口に棒きれをくわえている	犬が別の犬を追いかけていて、口に木片をくわえている	3.7	entailment
354	二匹の犬が走っていて口でおもちゃを運んでいる	二匹の犬が走っていて口で物を運んでいる	4.3	entailment
358	犬が別の犬を追いかけていて、口に木片をくわえている	二匹の犬が走っていて口で物を運んでいる	3.0	entailment
360	二匹の犬が走っていて口で物を運んでいる	犬が棒きれを追いかけていて、口に別の犬をくわえている	2.7	neutral
361	犬が別の犬を追いかけていて、口に棒きれをくわえている	二匹の犬が走っていて口で物を運んでいる	3.0	entailment
362	汚れたサッカーボールがゴールネットに転がり込んでいる	サッカーボールがゴールネットに転がり込んでいる	4.0	entailment
363	サッカーボールがゴールネットに転がり込んでいない	サッカーボールがゴールネットに転がり込んでいる	3.3	contradiction
366	サッカーをしている人がボールをゴールに蹴り込んでいる	サッカーボールがゴールネットに転がり込んでいる	3.3	neutral
367	サッカーボールがゴールネットに転がり込んでいる	サッカー選手がボールをゴールから蹴り出している	2.7	neutral
370	サッカーボールがゴールネットに転がり込んでいる	サッカー選手がボールをゴールに蹴り込んでいる	3.0	neutral
372	男性が椅子に座って目をこすっている	椅子に座って目をこすっている男性は一人もいない	3.0	contradiction
373	タトゥーのある男性がソファにゆったりと座って鉛筆を持っている	タトゥーのある男性がソファに座って鉛筆を持っている	4.3	entailment
374	タトゥーのある男性がソファにゆったりと座って鉛筆を持っている	タトゥーのある男性がソファにゆったりと座って鉛筆を探している	3.3	contradiction
375	タトゥーのある男性が鉛筆を持ちながらソファを押さえている	タトゥーのある男性がソファにゆったりと座って鉛筆を持っている	3.0	neutral
377	男性が椅子に座って目をこすっている	タトゥーのある男性がソファにゆったりと座って鉛筆を探している	2.0	neutral
378	タトゥーのある男性が鉛筆を持ちながらソファを押さえている	男性が椅子に座って目をこすっている	1.7	neutral
379	男性が椅子の上で休憩して目をこすっている	タトゥーのある男性がソファにゆったりと座って鉛筆を持っている	1.7	neutral
380	タトゥーのある男性がソファにゆったりと座って鉛筆を持っている	椅子に座って目をこすっている男性は一人もいない	1.7	neutral
381	タトゥーのある男性がソファにゆったりと座って鉛筆を持っている	男性が椅子に座って目をこすっている	1.7	neutral
387	茶色と白の犬が丈の高い草の中を走っている	黒と黄褐色の犬が丈の低い緑色の草の中を走っている	3.0	neutral
390	白と黄褐色の犬が丈の高い緑色の草の中を走っている	茶色と白の犬が丈の高い草の中を走っている	3.7	neutral
391	塗料で覆われた服を着た男性がにぎやかな地域で外に座って何かを書いている	男性が塗料で覆われた服を着ていて、にぎやかな地域で外に座って何かを書いている	4.3	entailment
392	塗料だらけの服を着ているか、またはにぎやかな地域で外に座って何かを書いている男性は一人もいない	男性が塗料で覆われた服を着ていて、にぎやかな地域で外に座って何かを書いている	3.3	contradiction
393	座っている男性が、塗料で覆われたエリアで忙しそうに何かを書いている	男性が塗料で覆われた服を着ていて、にぎやかな地域で外に座って何かを書いている	2.7	neutral
395	男性が自転車の近くに座ってメモを書いている	バイクの近くでメモを書いている男性は一人もいない	3.0	neutral
396	男性が塗料で覆われた服を着ていて、にぎやかな地域で外に座って何かを書いている	男性がバイクの近くに立って一枚の紙に書いている	2.3	neutral
397	バイクの近くでメモを書いている男性は一人もいない	男性が塗料で覆われた服を着ていて、にぎやかな地域で外に座って何かを書いている	1.7	neutral
398	男性が自転車の近くに座ってメモを書いている	塗料で覆われた服を着た男性がにぎやかな地域で外に座って何かを書いている	1.7	neutral
403	ボーイスカウトのグループが草原でキャンプをしている	ボーイスカウトのグループが草原をハイキングしている	3.3	contradiction
404	何人かの人々が歩いている	人々が歩いている	4.7	entailment
409	何人かの人々が歩いている	ボーイスカウトのグループが草原でキャンプをしている	2.3	neutral
410	ボーイスカウトのグループが草原をハイキングしている	何人かの人々が歩いている	3.3	entailment
413	二人の男性が雪の積もった道路を歩くのを休んでいる	二人の男性が雪の積もった道路を歩いている間に車に侵入している	2.0	neutral
415	自転車を伴った二人の男性が雪の積もった道路のわきにいる	車を伴った二人の男性が雪の積もった道路のわきにいる	3.7	neutral
422	二人の男性が釣り竿と釣り道具を持っている	二人の男性が釣り竿を持っている	4.0	entailment
423	二人の男性が釣り竿を持っていない	二人の男性が釣り竿を持っている	2.7	contradiction
427	二人の男性が釣り竿を持っている	二人の男性が水域の近くに立って釣りに使う道具を持っている	3.3	neutral
428	水域の近くに立って釣り竿を持っている男性は一人もいない	二人の男性が釣り竿を持っている	2.3	contradiction
434	ヘルメットをかぶった女の子は自転車に乗っている	そのヘルメットを装った女の子は自転車の上に跨っている	3.7	entailment
435	女性が傾斜路で自転車を使って芸をしている	女性が自転車でジャンプをしている	3.3	neutral
436	女性が傾斜路で自転車を使って芸をしている	女性が、車が止まっている傾斜路で芸をしている	3.3	neutral
438	そのヘルメットを装った女の子は自転車の上に跨っている	女性が、車が止まっている傾斜路で芸をしている	2.3	neutral
439	その女の子はヘルメットをかぶった状態で自転車の上に跨っている	女性が傾斜路で自転車を使って芸をしている	2.0	neutral
440	そのヘルメットを装った女の子は自転車の上に跨っている	女性が傾斜路で自転車を使って芸をしている	2.3	neutral
441	女性が傾斜路で自転車を使って芸をしている	そのヘルメットを装った女の子は自転車の上に跨っている	2.3	neutral
442	ブロンドの女の子がサーフィンをしている	ブロンドの女の子が波に乗っている	4.3	entailment
446	女性がサーフィンをして波に乗っている	男の子がサーフィンをして波に乗っている	3.3	neutral
447	女性がサーフィンをしている	ブロンドの女の子が波に乗っている	3.3	neutral
449	女性がサーフィンをして波に乗っている	ブロンドの女の子がサーフィンをしている	3.7	neutral
451	ブロンドの女の子が波に乗りながら手を振っている	女性がサーフィンをして波に乗っている	3.0	neutral
454	二人の子供と一人の大人が木の大枝のそばに立っている	二人の子供と一人の大人が木の大枝のそばに立っていない	2.7	contradiction
457	二人の子供と一人の大人が木の大枝のそばに立っている	二人の子供が木に登っている	2.0	neutral
461	二人の子供と一人の大人が木の大枝のそばに立っている	二人の子供が大きな枝にぶら下がっている	1.7	neutral
462	黒い服を着た男性が自転車に乗っている	男性が自転車に乗って芸をしている	2.3	neutral
465	男性が緑色の自転車に乗ってスタントをしている	男性が緑色の自転車に乗って芸をしている	4.3	entailment
470	黒い服を着て緑色の自転車に乗っている男性は一人もいない	男性が緑色の自転車に乗って芸をしている	2.7	contradiction
473	男の子が水鉄砲を持っている	子供が水鉄砲を持っている	4.3	entailment
475	笑っている子供が水鉄砲を持っており、水を吹きかけられている	水を拭きかける鉄砲を持った子供が笑っていて、他の男の子たちに撃たれている	3.3	neutral
476	水鉄砲を持っているか、または水を吹きかけられている子供は一人もいない	笑っている子供が水鉄砲を持っており、水を吹きかけられている	2.3	contradiction
477	水を拭きかける鉄砲を持った子供が笑っていて、他の男の子たちに撃たれている	子供が水鉄砲を持っている	3.3	entailment
484	二匹のダックスフントが赤いボールで遊んでいる	二匹の犬が小さくて赤いボールで遊んでいる	3.7	neutral
485	二匹の猫が赤いボールで遊んでいる	二匹のダックスフントが赤いボールで遊んでいる	3.3	neutral
486	二匹の茶色の犬が赤いボールを奪い合って草原で遊んでいる	二匹の犬が小さくて赤いボールで遊んでいる	2.7	neutral
489	赤いボールで遊んでいる犬は一匹もいない	二匹のダックスフントが赤いボールで遊んでいる	2.3	contradiction
491	黒と白の犬が走っていて、ある人がその後ろに立っている	その犬は黒と白であり、走っていて、ある人がその後ろに立っている	4.7	entailment
494	小さい犬が全力疾走していて、それを飼っている人がそれを捕まえようとしている	小さな犬が全力疾走していて、その飼い主がそれを捕まえようとしている	4.7	entailment
496	黒と白の犬が走っていて、ある人がその後ろに立っている	小さい犬が全力疾走していて、それを飼っている人がそれを捕まえようとしている	2.3	neutral
497	黒と白の犬が走っていて、ある人がその後ろに立っている	小さな犬が走る速さを落としていて、飼い主はそれを追いかけるのやめている	2.0	neutral
499	黒と白の犬は走っておらず、その後ろに立っている人は一人もいない	小さな犬が全力疾走していて、その飼い主がそれを捕まえようとしている	2.3	neutral
500	黒人の人が白いスタンドに沿って走っていて、犬が彼の後ろで吠えている	小さな犬が全力疾走していて、その飼い主がそれを捕まえようとしている	1.3	neutral
505	染められた黒いシャツを着た男性がテーブルに向かって座って笑っている	黒いシャツが、テーブルに向かって座って笑っている男性に着られている	4.3	entailment
506	染められた黒いシャツを着た男性がテーブルに向かって座って笑っている	黒く染められたシャツを着てテーブルに向かって座って笑っている男性は一人もいない	3.0	contradiction
507	笑っている男性がテーブルの上でシャツを黒く染めているので、あなたはそこに座れない	染められた黒いシャツを着た男性がテーブルに向かって座って笑っている	2.3	neutral
508	黒いシャツが、テーブルに向かって座って笑っている男性に着られている	男性がテーブルに向かって心地よく座っている	3.3	entailment
513	男性が座っていて、心地よいディスカッションをしている	染められた黒いシャツを着た男性がテーブルに向かって座って笑っている	2.3	neutral
514	男性がテーブルに向かって心地よく座っている	染められた黒いシャツを着た男性がテーブルに向かって座って笑っている	2.3	neutral
515	ピンク色のボアを着ている女性が自転車に乗って歩行者用に造られた橋を下りている	ピンク色のスカーフを着けている女性が自転車に乗って歩行者用に造られた橋を下りている	3.7	neutral
516	ピンク色のボアを脱いでいる女性が歩行者用に造られた橋の上で自転車を停めている	ピンク色のボアを着ている女性が自転車に乗って歩行者用に造られた橋を下りている	3.3	neutral
522	ピンク色のボアを着ている女性が自転車に乗って歩行者用に造られた橋を下りている	シルバーのバンツ、ピンク色のベルボトム、そしてピンク色のスカーフを身に着けている女性は自転車に乗っていない	2.7	neutral
524	ピンク色のスカーフを着けている女性が自転車に乗って歩行者用に造られた橋を下りている	シルバーのバンツ、ピンク色のベルボトム、そしてピンク色のスカーフを身に着けている女性は自転車に乗っている	3.0	neutral
527	ピンク色のボアを着ている女性が自転車に乗って歩行者用に造られた橋を下りている	シルバーのバンツ、ピンク色のベルボトム、そしてピンク色のスカーフを身に着けている女性は自転車に乗っている	2.3	neutral
528	自転車に乗っている人が黒い衣服を着ている	自転車乗りが黒い衣服を着ている	4.7	entailment
529	自転車乗りが裸になっている	自転車乗りが黒い衣服を着ている	2.7	contradiction
531	黒いヘルメットが自転車を押している男性にかぶられている	一人の男性が黒いヘルメットをかぶっていて、自転車を押している	4.3	entailment
535	自転車乗りが黒い衣服を着ている	黒いヘルメットをかぶって自転車を押している男性は一人もいない	1.7	neutral
538	一人の男性が黒いヘルメットをかぶっていて、自転車を押している	自転車乗りが裸になっている	1.7	neutral
541	灰色のＴシャツを着ている男性は滝の前にある岩の上に座っている	灰色に染められたＴシャツを着ている男性は滝の前にある岩の上に座っている	4.3	entailment
542	灰色のＴシャツを着ている男性は滝の前にある岩の上に座っている	滝の前にある岩の上に座っているＴシャツを着た男性は一人もいない	2.7	contradiction
545	女性が立っていて、滝を見ていない	女性が座っていて、滝を見ている	2.7	contradiction
548	女性が立っていて、滝を見ていない	灰色のＴシャツを着ている男性は滝の前にある岩の上に座っている	2.0	neutral
550	灰色に染められたＴシャツを着ている男性は滝の前にある岩の上に座っている	女性が座っていて、滝を見ている	2.0	neutral
