pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
717	競技会に出場している数人の男性が外で走っている	競技会に出場している数人の男性が屋内で走っている	3.0	contradiction
718	競技会に出場している数人の男性が外で走っている	数人の男性が屋外での競技会を運営している	2.5	neutral
765	その子供は幸せそうに雪の中で滑っている	雪で覆われた丘の上にいる男の子が赤いジャケットと黒い帽子を身に着け、ひざまづいて滑っている	2.5	neutral
780	ある女性は年を取っていて、白い犬の近くにいる	女性と犬が木の切り株に座っている	2.5	neutral
816	あるグループの人々が防護服を身に着けている	あるグループの人々が防護のために使用される服を身に着けている	5.0	entailment
860	一匹の白い犬と一匹の黒い犬が並んで芝生の上を走っている	黒い毛並みをした犬と白い犬が芝生の上を走っている	5.0	entailment
873	アイススケートパークにいる人は少ない	戸外にあるアイススケートリンクが人々でいっぱいになっている	3.0	neutral
882	青と白のユニフォームを着た女の子は応援をしている	女の子は青と白のユニフォームを着た男性を応援している	3.5	neutral
913	女性が男性にキスされている	男性にキスされている女性は一人もいない	3.5	contradiction
933	赤いシャツを着た女の子はシャボン玉を膨らませている	幼い女の子は大きなシャボン玉を膨らませている	3.0	neutral
947	いくつかのアメリカンドッグが実に小さなベビーカーの中にいる二人の幼児に食べられている	二人の幼児が実に小さなベビーカーの中でいくつかのアメリカンドッグを食べている	5.0	entailment
980	男性が荒れ地に造られた走路で馬に乗っている	馬が青色と赤色のズボンをはいたカウボーイを落馬させている	2.0	neutral
987	大人が円形競技場の中にいて男の子に話しかけている	円形競技場の中で男の子に話しかけている大人は一人もいない	3.5	contradiction
988	大人と男の子についての話が円形競技場の中でされている	大人が円形競技場の中にいて男の子に話しかけている	3.0	neutral
1039	スノーボーダーは白い雪の上を跳んでいない	スノーボードの練習をしている人が空中にジャンプする	3.0	neutral
1102	女性が馬に乗っている	男性がヘッドホンの入っている小さなパッケージを開けている	1.0	neutral
1137	魚が海の中で亀を探している	亀は魚を追いかけている	2.5	neutral
1170	ジャガイモが女性に薄切りにされている	女性がニンジンを薄切りにしている	3.5	neutral
1177	女性が髪を櫛でとかしている	女性が髪を整えている	4.0	entailment
1178	女性が髪を櫛でとかしている	髪を櫛でとかしている女性は一人もいない	3.5	contradiction
1190	男性と女性が森林地域をハイキングしている	女性と男性が森を一緒に歩いている	4.0	neutral
1192	女性と男性が森を一緒に歩いている	女性と男性が森林地域を歩いている	5.0	entailment
1232	男性がロールパンを薄切りにしている	男性がトマトを薄切りにしている	3.5	neutral
1236	女性が一人だけでダンスをして歌っている	女性が他の女性たちとダンスをして歌っている	3.5	contradiction
1237	何人かの女性がダンスをして歌っている	女性が雨の中でダンスをして歌っている	3.5	neutral
1241	女性が他の女性たちとダンスをして歌っている	女性が雨の中でダンスをして歌っている	3.5	neutral
1266	バンドがステージで楽器を弾いている	バンドがステージ上で楽器を弾いている	4.5	entailment
1302	男性がフルートを吹いている	男性がボールを使ったゲームをしている	2.0	contradiction
1333	その女性は他の女性の足首を測定している	女性がもう一人の女性に測定されている	4.0	entailment
1390	ある人がオートバイの近くで立っている	ある人がタマネギを刻んでいる	1.0	neutral
1396	男性が叫び声を上げている	男性がおびえている	3.0	neutral
1400	悲しんでいる男性が泣いている	男性が叫び声を上げている	3.0	neutral
1410	女性がエビを切っている	男性がバターを刻んで小さい容器に入れている	1.5	neutral
1412	男性たちが丸太をノコギリで切っている	男性たちが木を切っている	4.0	entailment
1443	男性がラジオでしゃべっている	男性が唾を吐いている	2.5	neutral
1469	三人の若い男性が自動販売機の近くで走り、跳び、蹴っている	自動販売機の近くで走り、跳び、蹴っている男子は一人もいない	3.5	contradiction
1470	三人の男性が壁から飛び降りている	三人の若い男性が自動販売機の近くで猛烈に走り、跳び、蹴っている	2.0	neutral
1487	男性はチキン用のソースをかき混ぜていない	男性はチキン用のソースをかき混ぜている	4.0	contradiction
1493	男性がエレキギターを弾いている	男性がギターを弾いている	4.0	entailment
1495	男性がギターを弾いている	男性はギターをかき鳴らしている	4.0	entailment
1503	空手着を着た三人の男の子が闘っていない	空手着を着た三人の男の子が闘っている	4.0	contradiction
1506	三人の男性が戸外で空手の練習をしている	空手着を着た三人の男の子が闘っている	3.0	neutral
1525	女性がいくつかの植物を植えている	女性がブロッコリーを切っている	3.0	neutral
1584	穴がアナグマに掘られている	アナグマが抜け目なく土を掘っている	2.5	neutral
1608	蛇が男性からマウスを餌として与えられている	蛇が男性からマウスを餌として与えられていない	4.0	contradiction
1628	いくつかの材料がある人によりボウルの中で混ぜられている	いくつかの材料がある人によりボウルの中で分離されている	3.0	contradiction
1676	ボートが水の上を穏やかに進んでいる	そのギターはその男性に弾かれている	1.0	neutral
1690	そのミルクは猫に飲まれている	その猫はいくらかのミルクを飲んでいる	4.5	entailment
1703	男性がプラスチック製の容器をすっかり空にしている	男性がプラスチック製の容器を空にしている	4.5	entailment
1711	男性がプラスチック製の容器を空にしている	男性がカエルをぞんざいに掴んでいる	1.0	neutral
1754	フルートが女の子に美しく吹かれている	フルートが女の子に吹かれている	4.0	entailment
1807	その大人はギターを騒々しく弾いている	フルートが男性に吹かれている	2.0	neutral
1811	男性がギターを騒々しく弾いている	フルートが男性に吹かれていない	2.5	neutral
1839	その女の子は小さくて、慎重に髪を櫛でとかしてポニーテールにしている	その女の子は小さくて、髪を櫛でとかしてポニーテールにしている	4.0	entailment
1847	一人の男性が椅子に座っている	その女の子は小さくて、髪をくしゃくしゃにしている	1.0	neutral
1861	しゃべっているオウムの前にあるマイクはミュートされている	そのオウムはマイクに向かってしゃべっている	3.0	neutral
1877	広告としてトレイの上の子猫たちは食物として食べられている	トレイの上の食物は子猫たちに食べられている	2.5	neutral
1881	トレイの上の食物は子猫たちに食べられている	数匹の子猫が食べている	3.0	entailment
1964	一人の人がギターを弾きながら歌っている	ある人がギターを弾きながら歌っている	4.5	entailment
2001	その馬は男性に乗られている	男性がその馬に乗っている	5.0	entailment
2019	男性が危険なやり方でナイフを木に投げている	ナイフを持った何人かの危険な男性たちが自転車を木に向かって投げている	1.5	neutral
2058	婦人がいくつかの肉を正確に切り分けている	いくつかの肉が女性に細かく切られている	4.0	entailment
2089	男性はインタビューを拒否している	男性はインタビューを許可している	4.0	contradiction
2096	男性はインタビューを許可している	男性の白い自動車が走り去っている	1.0	neutral
2130	幼少の男の子が犬を叱っている	幼少の男の子が犬と遊んでいる	3.0	neutral
2157	据え付けられたカメラの写真が夕暮れの海辺にいる男性により撮られている	男性が湖の写真を撮っている	2.0	neutral
2166	女性が機械を使って縫い物をしている	女性は縫い物のために作られた機械を使っている	3.5	neutral
2221	ある人が馬から落ちている	男性は馬から叩き落とされていない	3.0	neutral
2229	女性が指でテーブルをコツコツとたたいている	女性が指をテーブルの上に置いている	3.0	neutral
2231	女性が指でコツコツと音をたてている	女性が指をテーブルの上に置いている	3.0	neutral
2284	猫がスイカで熱心に遊んでいる	猫はスイカで遊んでいる	4.0	entailment
2286	猫がスイカで熱心に遊んでいる	猫がスイカで遊んでいる	4.0	entailment
2362	ある人が何台かのカメラをガスバーナーで焼いている	背の高い人はそれらのカメラに火をつけている	3.0	neutral
2364	何台かのカメラがある人にガスバーナーで焼かれている	その人はそれらのカメラに火をつけている	3.0	neutral
2366	何台かのカメラのそばにいる男性がガスバーナーに息を吹きかけている	その人はそれらのカメラに火をつけている	2.5	neutral
2385	ある人がタマネギを細かく切っている	ある人がニンジンをばらばらに薄切りにしている	3.0	neutral
2392	その男性はジャガイモを薄切りにしていない	男性はジャガイモを薄切りにしている	4.0	contradiction
2402	ある人がトマトを切っている	女性は一つのトマトまるごとをつかんでいる	2.5	neutral
2404	婦人はトマトを薄切りにしている	トマトを切っている人は一人もいない	3.5	contradiction
2405	婦人はトマトを薄切りにしている	ある人がトマトを切っている	3.5	entailment
2410	男性がいくらかの料理を用意している	タマネギがその女性にナイフで薄切りにされている	1.5	neutral
2430	一人の男性が道路を走っている	男性が走っている	4.0	entailment
2476	何人かの人々が歌っている	あるグループの人々が歌っている	3.5	neutral
2485	男性はギターを弾いている	男性がトランペットを吹いている	3.5	neutral
2525	数人の人が筏に乗って浮かんでいる	人々が筏に乗って漕いでいる	2.5	neutral
2527	人々が筏に乗って漕いでいる	四人の人が筏に乗って浮かんでいる	3.0	neutral
2535	軸付きのトウモロコシを食べている猫は一匹もいない	猫がいくらかのトウモロコシを食べている	3.0	neutral
2544	その人は野菜を薄切りにしている	誰もトマトを薄切りにしていない	3.5	neutral
2557	ある人がギターをかき鳴らしている	ある人がギターを弾いている	4.0	entailment
2566	三人の女性がダンスをしている	数人の女性がダンスをしている	4.0	entailment
2604	ブルドッグがその猿にブラシをかけられている	猿はブルドッグにブラシをかけている	5.0	entailment
2606	猿はブルドッグにブラシをかけている	ブルドッグがその猿にブラシをかけている	3.5	neutral
2662	婦人はミキサーに入れるために卵を割っていない	婦人はその肉を薄切りにしている	2.5	neutral
2668	数匹のフェレットがケージから這い出ている	フェレットが棚から這い降りている	3.5	neutral
2678	男性が大急ぎでガレージの中の車に乗り込んでいる	男性が車に乗り込んでいる	4.0	entailment
2679	男性が車をガレージに停めている	男性が車に乗り込んでいる	2.5	neutral
2687	その人はひとかけらのニンニクを細かく薄切りにしている	その人はひとかけらのニンニクを細かく薄切りにしていない	4.0	contradiction
2704	ヌードルが女性により水の中で煮られている	女性がヌードルを水の中で煮ている	5.0	entailment
2712	保護用のボクシンググローブを着けている別の男性を蹴っている空手の練習生は一人もいない	空手の練習生が保護用のボクシンググローブを着けている別の男性を蹴っている	4.0	contradiction
2720	男性はトレーナーとキックボクシングをしている	保護用のボクシンググローブを着けている別の男性を蹴っている空手の練習生は一人もいない	3.0	neutral
2721	男性はトレーナーとキックボクシングをしている	空手の練習生が保護用のボクシンググローブを着けている別の男性を蹴っている	3.0	neutral
2722	女性は腰掛けていて、歌を歌いながらギターを弾いている	腰掛けている女性が歌を歌いながらギターを弾いている	5.0	entailment
2726	岩の上にいる女性が毛布の上に横たわっていて、本を読んでいる	女性が毛布の上で揺れ動きながら、本を読んでいる誰かにもたれている	2.5	neutral
2738	女性はエレキギターを弾いていない	男性がアコースティックギターを弾いている	3.0	neutral
2766	一人の男性と一人の女性がしゃべっている	一人の男性と一人の女性が幸せそうに食事をしている	2.0	neutral
2772	ある人が調理用のオリーブオイルを鍋に注ぎ込んでいる	ある人が調理用のオイルを鍋に注ぎ込んでいる	4.0	entailment
2791	モルモットは小さくて、床の上の一切れのニンジンをかじりながら食べている	小さなモルモットが床の上の一切れのニンジンをかじりながら食べている	5.0	entailment
2795	小さなモルモットが床の上の一切れのニンジンをかじりながら食べている	モルモットがニンジンをむさぼり食べている	3.0	neutral
2812	飛行機が着陸している	アニメの航空機が離陸している	2.5	neutral
2822	女性が混合物をボウルから取り出している	女性がフライパンで卵を調理している	2.5	neutral
2829	婦人はペンシルでアイシャドウを塗っている	女性はペンシルでアイシャドウを塗っている	4.0	entailment
2842	小さな女の子がステージでグランドピアノを弾いている	女の子がピアノを練習をしている	3.0	neutral
2886	女性がフルートを吹いている	女性はフルートを吹いていない	4.0	contradiction
2898	男性はバーベルを上げている	男性は重いものを上げている	3.0	neutral
2911	女性が化粧をしている	化粧をしている女性は一人もいない	4.0	contradiction
2932	女性はニンジンを切っている	タマネギが女性に薄切りにされている	3.0	neutral
2936	二人の男性が家畜囲いの中で喧嘩をしている	二人の男性が家畜囲いの外にいる	3.0	contradiction
2965	大きな緑色のボールがジャガイモに当たり損なっている	大きな緑色のボールがジャガイモにぶつかっている	3.5	contradiction
2967	大きな緑色のボールがジャガイモに当たっている	大きな緑色をしたボールがジャガイモに当たっている	5.0	entailment
2968	大きな緑色のボールがジャガイモに当たり損なっている	大きな緑色のボールがジャガイモに当たっている	3.5	contradiction
2972	大きな緑色のボールがジャガイモに当たっている	大きな緑色のボールがジャガイモに当たり損なっている	3.5	contradiction
2996	男性がギターを弾いている	男性がギターを横たえている	2.5	neutral
3002	女性がエレキギターを弾いている	男性がギターを横たえている	2.0	neutral
3036	その子犬はプラスチックの容器で遊んでいない	その子犬はプラスチックの容器で遊んでいる	4.0	contradiction
3061	女性が車を運転していて、横に座っている男性に話しかけている	車を運転していて横に座っている男性に話しかけている女性は一人もいない	4.0	contradiction
3107	男性が座っているギター奏者をまごつかせている	男性が部屋の中の床の上に座っていてギターをかき鳴らしている	2.5	neutral
3122	女性が目のためのペンシルを使っていて、アイライナーをまぶたに塗っている	女性がまぶたに化粧品を塗っている	3.5	entailment
3123	アイペンシルを使っていてまぶたにアイライナーを塗っている女性は一人もいない	女性がまぶたに化粧品を塗っている	3.0	neutral
3143	猿がある人の手袋を蹴っている	猿は武術を練習している	2.5	neutral
3174	子供が楽器を投げ捨てている	幼い男の子が管楽器を演奏している	2.0	neutral
3181	男性が森の中でトレッキングをしている	男性は森の中でハイキングをしていない	3.0	neutral
3222	橋を歩いて渡っている男の子は一人もいない	男の子が橋を歩いて渡っている	4.0	contradiction
3250	女性が二つの卵を水の入った鍋の中に置いている	女性が二つの卵を水の入った鍋に入れている	4.0	entailment
3258	男性がギターを弾いている	誰もギターを弾いていない	4.0	contradiction
3275	子供が海の波に走って入ったり出たりしている	子供が海の波に走って入ったり出たりしている	5.0	entailment
3291	女性がニンジンを片付けている	女性がポークチョップに衣をつけている	1.5	neutral
3292	女性がニンジンをすりおろしている	料理人がポークチョップに衣をつけている	2.0	neutral
3322	女性はいくつかのパンとポークカツを刻んでいる	女性がパン粉のついたポークチョップを調理している	2.5	neutral
3338	屋上に立っていてバイオリンを弾いている男性は一人もいない	男性が屋上に立っていて、バイオリンを弾いている	4.0	contradiction
3364	女性がエビをきれいに洗っている	女性はエビをきれいに洗っている	5.0	entailment
3373	女性が水上スクーターに乗っている	女性が水上用のスクーターに乗っている	5.0	entailment
3384	ジャイアントパンダがいくらかの竹を食べている	いくらかの竹がジャイアントパンダに食べられている	5.0	entailment
3398	ある人が卵を割っている	女性はボウルの中の卵をかき混ぜていない	2.5	neutral
3420	女性が魚の骨を抜いている	大きな魚が男性を捕まえている	1.0	neutral
3433	トレイがある人にバターを塗られている	ある人がトレイにバターを塗っている	5.0	entailment
3459	男性は斧で木の幹をたたき切っている	男性が斧で丸太をたたき切っている	3.0	neutral
3485	猫は高い場所にあるテーブルのところの窓の外を見ている	テーブルの上に座っている猫は窓の外を見ている	3.0	neutral
3501	犬が赤ちゃんを舐めている	犬はその赤ちゃんを舐めている	4.5	entailment
3505	女性がニンニクを片付けている	女性がガーリックを切り刻んでいる	2.5	neutral
3518	男性はダンスをしていない	女性がダンスをしている	3.0	neutral
3536	ある人が鍋でオクラを調理している	オクラが鍋で調理されている	4.5	entailment
3586	男性がそのドラムを叩いている	男性がそのドラムを練習している	3.0	neutral
3598	一人の男性が床運動をしている	男性が運動をしている	3.0	entailment
3625	女性が肉を鍋に入れている	肉を鍋に入れている女性は一人もいない	4.0	contradiction
3626	ある人がその肉を鍋の中に落としている	その肉は鍋の中に落とされている	4.0	entailment
3657	男の子が水差しを水で満たしている	水差しが男の子により水で満たされている	5.0	entailment
3661	女性が水を水道からマグカップに集めている	男の子が水差しを水で満たしている	3.0	neutral
3670	歩いている男性の上に雨が降っている	男性が雨の中で歩いている	5.0	entailment
3680	レーサーたちが走路を走っている	走路を走っているレーサーは一人もいない	4.0	contradiction
3711	おもちゃの列車がおもちゃの自動車に衝突している	おもちゃの列車がおもちゃの自動車にぶつかり損ねている	3.0	contradiction
3721	その人はタマネギを薄切りにしている	タマネギがその人に薄切りにされている	5.0	entailment
3733	水泳選手たちが湖で競争している	何人かのレーサーが湖で泳いでいる	2.5	neutral
3747	才能のある男性がそのギターを弾いている	女性がギターを弾いている	3.0	neutral
3790	ある人がズッキーニをごしごし洗っている	その人はズッキーニをごしごし洗っている	4.5	entailment
3812	女性が緑色をしたトウガラシを薄切りにしている	女性が緑色のトウガラシを薄切りにしている	5.0	entailment
3855	男性が道路の真ん中で立ち止まっている	男性が道路を歩いている	2.5	neutral
3861	荒野から来た男性が歩道の上にいる	男性が道路を歩いている	2.0	neutral
3862	男性は荒野を通る細道に沿って歩いている	男性が道路をのらくらと歩いている	2.5	neutral
3880	男性が部屋の天井板の上でダンスをしている	男性は天井板の上で逆さまになってダンスをしている	2.5	neutral
3897	運動している男性は一人もいない	男性が運動をしている	4.0	contradiction
3909	男性は歌いながらギターを弾いている	そのギターは男性に弾かれている	3.5	entailment
3910	男性がギターを梱包している	男性は歌いながらギターを弾いている	2.5	neutral
3922	男の子たちが何人かの人々の前でダンスをしていない	男の子たちが何人かの人々の前でダンスをしている	4.0	contradiction
3941	男の子がカレンダーを見ている	カレンダーを確認している男の子は一人もいない	3.5	contradiction
3982	女性がジャガイモの皮をむいている	女性がジャガイモを冷凍している	2.0	neutral
3996	歌いながらギターを弾いている男性は一人もいない	男の子がピアノを弾いている	1.5	neutral
4001	男性が無謀にもロープをよじ登っている	男性がロープをよじ登っている	4.0	entailment
4006	男性がロープをよじ登っている	男性はロープをよじ登っている	5.0	entailment
4011	男性がロープをよじ登っている	男性がロープをよじ登っている	5.0	entailment
4015	婦人はそのカンガルーを持ち上げている	女性はそのカンガルーを持ち上げている	4.0	entailment
4031	男性が両手でタイルを割っている	木製の板を両手で割っている男性は一人もいない	2.5	neutral
4054	犬が道路で息を切らせて走っている	犬が道路で走っている	4.0	entailment
4060	男性が道路で走っている	犬が道路で息を切らせて走っている	2.5	neutral
4066	男性は木にナイフを投げつけている	男性は木にナイフを投げている	4.5	entailment
4067	男性は木からナイフを取り除いている	男性は木にナイフを投げている	2.5	contradiction
4079	一人の男性が馬に乗っている	男性が馬に乗っている	5.0	entailment
4086	絵を描いている男性は一人もいない	男性が絵を描いている	4.0	contradiction
4114	食べ物を食べている男性は一人もいない	男性がピザを食べている	3.0	contradiction
4135	犬がトランポリンの上で跳ねている	犬がトランポリンの上でジャンプしている	4.5	entailment
4140	何人かの男の子がトランポリンの上でジャンプしている	男性がトランポリンの上でバク転をしている	2.5	neutral
4155	男性が木管楽器を演奏している	木管楽器を演奏している男性は一人もいない	4.0	contradiction
4157	そのピアノを弾いている男性は一人もいない	男性がそのピアノを弾いている	4.0	contradiction
4164	男性はその板の上の絵を消している	女性はその板の上の絵を消している	3.0	neutral
4187	人形で遊んでいる犬は一匹もいない	犬が人形を食べている	2.5	neutral
4191	犬が人形を食べている	犬がおもちゃで遊んでいる	2.5	neutral
4196	男性がダンスをしている	男性が熱心に祈っている	2.5	neutral
4288	女性は調理されたタコを薄切りにしている	女性がタコを切り刻んでいる	3.0	neutral
4321	男性が絵を描いている	絵を描いている男性は一人もいない	4.0	contradiction
4330	男性は絵を描いている	絵を描いている男性は一人もいない	4.0	contradiction
4342	男性がバナナを食べている	男性が果物を食べている	4.0	entailment
4360	男性がノートを切っている	男性が紙を切っている	3.5	neutral
4376	男性がギターを弾いている	ピアノを弾いている人は一人もいない	1.5	neutral
4411	競争における二人の男性がトラクターのタイヤをひっくり返している	二人の男性がタイヤ転がし競争で競っている	2.5	neutral
4429	男性たちはしゃべっている	何人かの年を取った女性たちがしゃべっている	3.0	neutral
4477	男性がサッカーボールをパンチングしている	男性はボウルの中身を混ぜ合わせている	1.0	neutral
4505	医師たちは男性を治療している	医師はその患者を助けている	3.0	entailment
4520	ギターを弾いている男性は一人もいない	男性がギターを弾いている	4.0	contradiction
4614	自動車を運転している男性は一人もいない	男性が車を運転している	3.5	contradiction
4638	キーボードが男性に弾かれている	男性がハープを弾いている	3.0	neutral
4650	男性が刀で太いロープを切っている	刀でロープを切っている男性は一人もいない	4.0	contradiction
4661	女性がジャガイモを薄切りにしている	女性がジャガイモを切っている	4.3	entailment
4707	男性たちのグループが海辺でサッカーをしている	男の子たちのグループが海辺でサッカーをしている	4.3	neutral
4734	男性がピストルにサイレンサーを取り付けている	男性が銃にサイレンサーをはめ込んでいる	4.0	neutral
4755	女の子はカウチに座っていてクローシェ編みをしている	海辺でバイオリンを弾いている女の子は一人もいない	1.0	neutral
4767	男性が蛇を調理している	蛇を調理している男性は一人もいない	4.0	contradiction
4776	ギターを弾いている男の子は一人もいない	男の子がギターを弾いている	4.0	contradiction
4803	動物園で犬をいじめている猿は一匹もいない	猿が動物園で犬をいじめている	4.0	contradiction
4814	猿が犬の尻尾を引っぱっている	猿が動物園で犬をいじめている	2.7	neutral
4816	いくらかのニンニクを切っている人は一人もいない	ある人がいくらかのニンニクを切っている	4.0	contradiction
4823	ある人がいくらかのニンニクを切っている	ある人がタマネギを薄切りにしている	2.7	neutral
4831	男性がジャガイモを細かく薄切りにしている	男性がジャガイモを切っていない	3.3	contradiction
4843	男性がナイフで箱を開けている	ナイフで箱を開けている男性は一人もいない	4.0	contradiction
4851	いくつかの楽器がバンドに演奏されている	バンドがいくつかの楽器を演奏している	4.7	entailment
4852	バンドがいくつかの楽器を演奏していない	バンドがいくつかの楽器を演奏している	4.0	contradiction
4866	ある人がダンスをしている	女性が運動をしている	2.3	neutral
4891	男性が懸垂をしている	男性はジムで運動をしている	3.3	neutral
4916	男性が歌いながらギターを弾いている	男性が歌いながら楽器を演奏している	4.3	entailment
4934	新兵が将校に話しかけている	将校が新兵に話しかけている	3.3	neutral
4963	ニンニクが女性に切り刻まれている	女性がニンニクを切り刻んでいる	5.0	entailment
4966	女性が魚を薄切りにしている	女性が魚を薄切りにしていない	4.0	contradiction
4983	女性が馬に乗っている	馬が女性に乗られている	5.0	entailment
5003	大きな猫がプラスチック製の引き出しを足で開けていて、中に跳び込んでいる	猫が引き出しを開けていて、中に跳び込んでいる	4.3	entailment
5030	男性は電話機でしゃべっている	男性は電話機で話している	4.7	entailment
5047	男性がタマネギを切っている	女性がタマネギを切っている	3.7	neutral
5051	男性がドアを開けている	ドアを開けている男性は一人もいない	4.0	contradiction
5052	ドアが男性に開けられている	男性がタマネギを切っている	1.0	neutral
5082	女性がそのバイオリンを弾いている	そのピアノを弾いている男性は一人もいない	1.3	neutral
5110	シェフがいくらかの食べ物を調理している	シェフが肉を調理している	3.3	neutral
5113	二人の力士が戦っている	二人の力士が戦っている	5.0	entailment
5119	二人の力士が戦っている	男性が水の中で水上玩具に乗っている	1.0	neutral
5148	男性が一片のパンにバターを塗っている	女性が一片のパンにバターを塗っている	4.3	neutral
5203	女性はパスタを皿に入れている	パスタが女性により皿に入れられている	5.0	entailment
5206	女性がいくらかのネバネバしたものをボウルから引っぱり出している	女性はパスタを皿に入れていない	1.3	neutral
5310	フルートを吹いている女の子は一人もいない	女の子がフルートを吹いている	4.0	contradiction
5349	大きなフルートが男性に吹かれている	男性がフルートを吹いている	4.3	entailment
5352	男性が大きなフルートを吹いている	フルートを吹いている男性は一人もいない	3.3	contradiction
5374	タコが女性に薄切りにされている	女性がタコを薄切りにしている	5.0	entailment
5454	男性がフルートを吹いている	男性がフルートを吹いていない	4.0	contradiction
5461	女性がそのフルートを吹いている	男性がフルートを吹いている	3.3	neutral
5498	女性がレモンを切っている	女性が果物を切っている	4.3	entailment
5540	あるグループの人々がショーでダンスをしている	あるグループの人々が行進している	2.3	neutral
5588	カップケーキが女の子に食べられている	女の子がカップケーキを食べている	5.0	entailment
5657	ある人がレストランで食事をしている	ある人がベッドを整えている	1.3	neutral
5698	料理人はそのピザの上にチーズを振りかけている	男性はそのピザの上にチーズを振りかけている	3.7	neutral
5706	男性がショットガンに再装弾している	男性がショットガンを発砲している	3.0	neutral
5745	トラの子供がボールで遊んでいる	赤ちゃんが人形で遊んでいる	2.0	neutral
5747	赤ちゃんがおもちゃで遊んでいる	トラの赤ちゃんがボールで遊んでいる	2.7	neutral
5799	ある人がジャガイモの皮をむいている	ジャガイモがある人に皮をむかれている	4.7	entailment
